iter	Passed	Remaining
0	1770	883300
1	3250	809311
2	4974	824090
3	6382	791419
4	8076	799574
5	9327	767994
6	10927	769622
7	12423	764070
8	14004	764002
9	15434	756277
10	17177	763627
11	18833	765907
12	20364	762876
13	21922	761031
14	23587	762672
15	25051	757792
16	26648	757121
17	28260	756762
18	29780	753906
19	31167	748027
20	32756	747155
21	34168	742383
22	35702	740447
23	37212	738052
24	38699	735298
25	40210	733072
26	41316	723806
27	42865	722587
28	44391	720977
29	45871	718646
30	47364	716578
31	48874	714793
32	50499	714647
33	52110	714217
34	53335	708595
35	54966	708461
36	56446	706338
37	57940	704431
38	59447	702704
39	60907	700436
40	62327	697762
41	63971	697594
42	65537	696525
43	67079	695191
44	68533	692944
45	70094	691803
46	71575	689868
47	73096	688323
48	74546	686130
49	76012	684110
50	77491	682227
51	78899	679747
52	80396	678058
53	81955	676888
54	83473	675379
55	84930	673379
56	86086	669058
57	87495	666773
58	88958	664924
59	90356	662612
60	91781	660522
61	93348	659462
62	94828	657780
63	96385	656627
64	97920	655316
65	98947	650657
66	100631	650352
67	102036	648229
68	103529	646686
69	105297	646828
70	106788	645241
71	108253	643508
72	109860	642610
73	111309	640780
74	112907	639806
75	114359	638005
76	115787	636078
77	117348	634884
78	118811	633158
79	120352	631849
80	122114	631680
81	123735	630747
82	125351	629778
83	126802	627972
84	128050	625187
85	129578	623783
86	131111	622401
87	132851	621987
88	134397	620646
89	135825	618762
90	137605	618470
91	139172	617199
92	140775	616081
93	142490	615437
94	143838	613206
95	145341	611644
96	146784	609837
97	148304	608350
98	149936	607318
99	151683	606735
100	153132	604948
101	154662	603485
102	156326	602538
103	157872	601130
104	159534	600154
105	161024	598523
106	162621	597292
107	163975	595169
108	165682	594328
109	167241	592946
110	168761	591424
111	170062	589146
112	171574	587605
113	173259	586650
114	174974	585784
115	176511	584313
116	178042	582821
117	179752	581910
118	181067	579720
119	182690	578521
120	183594	575059
121	185035	573307
122	186553	571795
123	188121	570433
124	189616	568850
125	191017	566987
126	192389	565050
127	193843	563356
128	195200	561390
129	196711	559871
130	198305	558584
131	199891	557273
132	201560	556186
133	203134	554829
134	204634	553270
135	206177	551828
136	207746	550453
137	208946	548106
138	210463	546599
139	212016	545184
140	213494	543579
141	214755	541426
142	216331	540071
143	217827	538518
144	219377	537097
145	220804	535374
146	222282	533780
147	223395	531319
148	224984	529997
149	226563	528648
150	228127	527261
151	229772	526058
152	231351	524700
153	232830	523112
154	234441	521822
155	235984	520375
156	237545	518969
157	238618	516504
158	240286	515331
159	241853	513938
160	243450	512607
161	245037	511252
162	246550	509740
163	248147	508400
164	249554	506671
165	251017	505058
166	252539	503567
167	254029	502010
168	255544	500504
169	256857	498604
170	258630	497599
171	260121	496045
172	261752	494758
173	263250	493216
174	264819	491807
175	266325	490281
176	267763	488629
177	269327	487210
178	270891	485788
179	272342	484164
180	273781	482520
181	275359	481123
182	276846	479564
183	278430	478174
